stat_no;year;month;day;hour;elem_val
26409;1995;6;1;7;0,2
26409;1995;6;2;7;6,9
26409;1995;6;3;7;0,0
26409;1995;6;4;7;0,0
26409;1995;6;5;7;0,3
26409;1995;6;6;7;8,5
26409;1995;6;7;7;0,3
26409;1995;6;8;7;18,0
26409;1995;6;9;7;9,5
26409;1995;6;10;7;6,0
26409;1995;6;11;7;4,4
26409;1995;6;12;7;0,0
26409;1995;6;13;7;0,0
26409;1995;6;14;7;11,7
26409;1995;6;15;7;11,7
26409;1995;6;16;7;1,8
26409;1995;6;17;7;4,0
26409;1995;6;18;7;2,2
26409;1995;6;19;7;0,0
26409;1995;6;20;7;0,0
26409;1995;6;21;7;0,5
26409;1995;6;22;7;0,0
26409;1995;6;23;7;0,0
26409;1995;6;24;7;0,0
26409;1995;6;25;7;0,0
26409;1995;6;26;7;0,0
26409;1995;6;27;7;0,0
26409;1995;6;28;7;0,0
26409;1995;6;29;7;0,0
26409;1995;6;30;7;0,0
26409;1995;7;1;7;0,0
26409;1995;7;2;7;0,0
26409;1995;7;3;7;0,0
26409;1995;7;4;7;5,1
26409;1995;7;5;7;1,1
26409;1995;7;6;7;0,0
26409;1995;7;7;7;0,0
26409;1995;7;8;7;0,0
26409;1995;7;9;7;0,0
26409;1995;7;10;7;0,0
26409;1995;7;11;7;0,0
26409;1995;7;12;7;0,0
26409;1995;7;13;7;0,0
26409;1995;7;14;7;0,0
26409;1995;7;15;7;0,0
26409;1995;7;16;7;11,5
26409;1995;7;17;7;6,0
26409;1995;7;18;7;7,3
26409;1995;7;19;7;2,5
26409;1995;7;20;7;0,0
26409;1995;7;21;7;0,0
26409;1995;7;22;7;0,0
26409;1995;7;23;7;0,0
26409;1995;7;24;7;0,0
26409;1995;7;25;7;0,0
26409;1995;7;26;7;0,0
26409;1995;7;27;7;0,0
26409;1995;7;28;7;0,0
26409;1995;7;29;7;0,0
26409;1995;7;30;7;0,0
26409;1995;7;31;7;0,0
26409;1995;8;1;7;0,0
26409;1995;8;2;7;0,0
26409;1995;8;3;7;0,0
26409;1995;8;4;7;0,0
26409;1995;8;5;7;0,0
26409;1995;8;6;7;0,0
26409;1995;8;7;7;0,0
26409;1995;8;8;7;0,0
26409;1995;8;9;7;0,0
26409;1995;8;10;7;0,0
26409;1995;8;11;7;0,0
26409;1995;8;12;7;0,0
26409;1995;8;13;7;0,0
26409;1995;8;14;7;0,0
26409;1995;8;15;7;0,0
26409;1995;8;16;7;0,0
26409;1995;8;17;7;0,0
26409;1995;8;18;7;0,0
26409;1995;8;19;7;0,0
26409;1995;8;20;7;0,0
26409;1995;8;21;7;0,0
26409;1995;8;22;7;0,0
26409;1995;8;23;7;0,0
26409;1995;8;24;7;5,2
26409;1995;8;25;7;1,2
26409;1995;8;26;7;24,0
26409;1995;8;27;7;0,2
26409;1995;8;28;7;3,4
26409;1995;8;29;7;0,0
26409;1995;8;30;7;0,0
26409;1995;8;31;7;0,0
26409;1995;9;1;7;0,0
26409;1995;9;2;7;0,8
26409;1995;9;3;7;0,0
26409;1995;9;4;7;10,4
26409;1995;9;5;7;12,2
26409;1995;9;6;7;5,8
26409;1995;9;7;7;0,0
26409;1995;9;8;7;2,0
26409;1995;9;9;7;0,0
26409;1995;9;10;7;6,5
26409;1995;9;11;7;1,3
26409;1995;9;12;7;5,5
26409;1995;9;13;7;0,0
26409;1995;9;14;7;15,7
26409;1995;9;15;7;5,3
26409;1995;9;16;7;0,0
26409;1995;9;17;7;0,0
26409;1995;9;18;7;0,0
26409;1995;9;19;7;0,0
26409;1995;9;20;7;0,0
26409;1995;9;21;7;0,0
26409;1995;9;22;7;0,0
26409;1995;9;23;7;0,0
26409;1995;9;24;7;0,0
26409;1995;9;25;7;0,7
26409;1995;9;26;7;15,0
26409;1995;9;27;7;4,8
26409;1995;9;28;7;11,5
26409;1995;9;29;7;9,9
26409;1995;9;30;7;3,2
26409;1995;10;1;7;0,0
26409;1995;10;2;7;1,6
26409;1995;10;3;7;0,0
26409;1995;10;4;7;8,4
26409;1995;10;5;7;0,0
26409;1995;10;6;7;6,7
26409;1995;10;7;7;0,0
26409;1995;10;8;7;4,4
26409;1995;10;9;7;0,0
26409;1995;10;10;7;0,0
26409;1995;10;11;7;0,0
26409;1995;10;12;7;0,0
26409;1995;10;13;7;0,5
26409;1995;10;14;7;0,0
26409;1995;10;15;7;0,0
26409;1995;10;16;7;0,0
26409;1995;10;17;7;0,0
26409;1995;10;18;7;2,8
26409;1995;10;19;7;0,0
26409;1995;10;20;7;3,2
26409;1995;10;21;7;0,9
26409;1995;10;22;7;0,0
26409;1995;10;23;7;0,0
26409;1995;10;24;7;0,0
26409;1995;10;25;7;0,0
26409;1995;10;26;7;1,0
26409;1995;10;27;7;2,0
26409;1995;10;28;7;2,8
26409;1995;10;29;7;0,0
26409;1995;10;30;7;0,0
26409;1995;10;31;7;0,0
26409;1995;11;1;7;7,8
26409;1995;11;2;7;1,0
26409;1995;11;3;7;0,5
26409;1995;11;4;7;0,0
26409;1995;11;5;7;0,0
26409;1995;11;6;7;0,0
26409;1995;11;7;7;0,7
26409;1995;11;8;7;0,4
26409;1995;11;9;7;8,4
26409;1995;11;10;7;3,6
26409;1995;11;11;7;0,0
26409;1995;11;12;7;0,0
26409;1995;11;13;7;0,0
26409;1995;11;14;7;0,0
26409;1995;11;15;7;2,1
26409;1995;11;16;7;3,5
26409;1995;11;17;7;7,1
26409;1995;11;18;7;0,0
26409;1995;11;19;7;3,2
26409;1995;11;20;7;4,0
26409;1995;11;21;7;0,0
26409;1995;11;22;7;0,0
26409;1995;11;23;7;0,8
26409;1995;11;24;7;0,0
26409;1995;11;25;7;0,0
26409;1995;11;26;7;0,0
26409;1995;11;27;7;0,0
26409;1995;11;28;7;0,0
26409;1995;11;29;7;0,0
26409;1995;11;30;7;0,0
26409;1995;12;1;7;null
26409;1995;12;2;7;null
26409;1995;12;3;7;null
26409;1995;12;4;7;null
26409;1995;12;5;7;null
26409;1995;12;6;7;null
26409;1995;12;7;7;null
26409;1995;12;8;7;null
26409;1995;12;9;7;null
26409;1995;12;10;7;null
26409;1995;12;11;7;null
26409;1995;12;12;7;null
26409;1995;12;13;7;null
26409;1995;12;14;7;null
26409;1995;12;15;7;null
26409;1995;12;16;7;null
26409;1995;12;17;7;null
26409;1995;12;18;7;null
26409;1995;12;19;7;null
26409;1995;12;20;7;null
26409;1995;12;21;7;null
26409;1995;12;22;7;null
26409;1995;12;23;7;null
26409;1995;12;24;7;null
26409;1995;12;25;7;null
26409;1995;12;26;7;null
26409;1995;12;27;7;null
26409;1995;12;28;7;null
26409;1995;12;29;7;null
26409;1995;12;30;7;null
26409;1995;12;31;7;null
26409;1996;1;1;7;0,0
26409;1996;1;2;7;0,0
26409;1996;1;3;7;0,0
26409;1996;1;4;7;0,0
26409;1996;1;5;7;0,0
26409;1996;1;6;7;0,0
26409;1996;1;7;7;0,0
26409;1996;1;8;7;1,8
26409;1996;1;9;7;0,0
26409;1996;1;10;7;0,0
26409;1996;1;11;7;2,0
26409;1996;1;12;7;0,0
26409;1996;1;13;7;0,0
26409;1996;1;14;7;0,0
26409;1996;1;15;7;0,0
26409;1996;1;16;7;0,0
26409;1996;1;17;7;0,0
26409;1996;1;18;7;0,0
26409;1996;1;19;7;0,0
26409;1996;1;20;7;0,5
26409;1996;1;21;7;0,0
26409;1996;1;22;7;0,0
26409;1996;1;23;7;0,0
26409;1996;1;24;7;0,0
26409;1996;1;25;7;0,0
26409;1996;1;26;7;1,5
26409;1996;1;27;7;0,7
26409;1996;1;28;7;0,0
26409;1996;1;29;7;0,0
26409;1996;1;30;7;0,0
26409;1996;1;31;7;0,0
26409;1996;2;1;7;0,0
