 513518-JAN-2010 00:00:0021-DEC-2010 23:59:59    26    15    22    31     8    16    30    30    21Pluvio-måler.                                                                 A
 513522-DEC-2010 00:00:0026-FEB-2014 23:59:59    24    25    20    17     8     3    26    36    16Pluvio-måler.                                                                 B
 513527-FEB-2014 00:00:0002-OCT-2014 23:59:59    20    34    20    36     7    15    18    35    20Pluvio-måler.                                                                 A
 513503-OCT-2014 00:00:0011-OCT-2015 23:59:59    22    30    17    32     9    15    25    32    20Pluvio-måler.                                                                 A
 513512-OCT-2015 00:00:0011_JUL-2018 23:59:59    22    23    20    36     8    16    28    35    21Pluvio-måler.                                                                 A
 513512-JUL-2018 00:00:0019_DEC-2018 23:59:59    32    47    32    44     9    16    40    42    28Pluvio-måler.                                                                 A
 513520-DEC-2018 00:00:0018_FEB-2019 23:59:59     5     6     5     5     4     4     5     5     5Pluvio-måler.                                                                 C
 513519-FEB-2019 00:00:00                         6     5     4     5    15    15     5     7     6Pluvio-måler.                                                                 B
 516518-NOV-2010 00:00:0024-SEP-2011 23:59:59    40    25     4    15     5     9    19    16    13Pluvio-måler.                                                                 B
 516525-SEP-2011 00:00:0026-SEP-2011 23:59:59    42    21     8    13     5     7    18    15    12Pluvio-måler. Flyttes 5 m mod SSW 20110926.                                   B
 516527-SEP-2011 00:00:0020-DEC-2012 23:59:59    19    20     3    13     5     7    17    10    10Pluvio-måler. Flyttet 5 m mod SSW 20110926.                                   B
 516521-DEC-2012 00:00:0025-FEB-2014 23:59:59    15    21     8    16     8     9    17    15    12Pluvio-måler.                                                                 B
 516526-FEB-2014 00:00:0002-DEC-2014 23:59:59    10    22     1    15     9     7    17    14    11Pluvio-måler.                                                                 B
 516503-DEC-2014 00:00:0030-OCT-2016 23:59:59    20    20     2    12     4     9    18    13    11Pluvio-måler.                                                                 B
 516531-OCT-2016 00:00:0024-SEP-2019 23:59:59    30    26     3    14     3     8    16    12    11Pluvio-måler.                                                                 B
 516525-SEP-2019 00:00:00                         5     7    15     9    38    13     0    13    10Pluvio-måler.                                                                 B
 573518-JAN-2010 00:00:0027-NOV-2011 23:59:59    24    15    12    11    14    11    12    17    13Pluvio-måler.                                                                 B
 573528-NOV-2011 00:00:0028-NOV-2011 23:59:59    24    15    14    12    13     9    12    18    13Pluvio-måler. Flyttes 2,6 m mod N 20111129.                                   B
 573529-NOV-2011 00:00:0021-JUL-2012 23:59:59    28    18    12    11    11    12    14    15    13Pluvio-måler. Flyttet 2,6 m mod N 20111129.                                   B
 573522-JUL-2012 00:00:0023-JUL-2012 23:59:59    26    17    14     8     8    11    12    19    12Pluvio-måler. Flyttes 18 m mod 253 grader 20120724.                           B
 573524-JUL-2012 00:00:0020-AUG-2012 23:59:59    14    13     9     8    10    11    17    18    12Pluvio-måler. Flyttet 18 m mod 253 grader 20120724.                           B
 573521-AUG-2012 00:00:0015-JAN-2013 23:59:59    16    34    17     8     8    14    15    17    14Pluvio-måler. Indpakket væksthus mod NE-E ændrer vinklerne.                   B
 573516-JAN-2013 00:00:0030-NOV-2014 23:59:59    13    23    10     8     6    15    16    18    13Pluvio-måler. Flyttet 2,5 m mod WSW 20130116.                                 B
